temperature_f,demand_kwh,hour,month,day_of_week,is_weekend,scenario,source
15.5,125.3,0,1,2,0,cold_snap,llm_generated
25.5,1250.3,1,1,2,0,cold_snap,llm_generated
25.5,1250.3,2,1,2,0,cold_snap,llm_generated
25.5,125.3,3,1,2,0,cold_snap,llm_generated
15.5,125.3,4,1,2,0,cold_snap,llm_generated
25.5,1250.3,5,1,2,0,cold_snap,llm_generated
15.5,1250.3,6,1,2,0,cold_snap,llm_generated
25.5,125.3,7,1,2,0,cold_snap,llm_generated
15.5,1250.3,8,1,2,0,cold_snap,llm_generated
25.5,1250.3,9,1,2,0,cold_snap,llm_generated
25.5,1250.3,10,1,2,0,cold_snap,llm_generated
25.0,1250.5,11,1,2,0,cold_snap,llm_generated
25.5,1250.3,12,1,2,0,cold_snap,llm_generated
25.5,1250.3,13,1,2,0,cold_snap,llm_generated
25.5,1250.3,14,1,2,0,cold_snap,llm_generated
25.5,1250.3,15,1,2,0,cold_snap,llm_generated
25.5,1250.3,16,1,2,0,cold_snap,llm_generated
25.5,1250.3,17,1,2,0,cold_snap,llm_generated
25.5,1250.3,18,1,2,0,cold_snap,llm_generated
25.5,1250.3,19,1,2,0,cold_snap,llm_generated
25.5,125.3,20,1,2,0,cold_snap,llm_generated
25.5,1250.3,21,1,2,0,cold_snap,llm_generated
25.5,1250.3,22,1,2,0,cold_snap,llm_generated
25.5,1250.3,23,1,2,0,cold_snap,llm_generated
45.6,12500.3,0,1,2,0,ev_fleet_event,llm_generated
45.6,12500.3,1,1,2,0,ev_fleet_event,llm_generated
45.6,2345.7,2,1,2,0,ev_fleet_event,llm_generated
45.5,12500.0,3,1,2,0,ev_fleet_event,llm_generated
35.5,2850.3,4,1,2,0,ev_fleet_event,llm_generated
45.5,2850.3,5,1,2,0,ev_fleet_event,llm_generated
45.5,2850.3,6,1,2,0,ev_fleet_event,llm_generated
45.5,3200.75,7,1,2,0,ev_fleet_event,llm_generated
45.6,3200.4,8,1,2,0,ev_fleet_event,llm_generated
45.6,3200.4,9,1,2,0,ev_fleet_event,llm_generated
45.6,12345.7,10,1,2,0,ev_fleet_event,llm_generated
45.6,12345.7,11,1,2,0,ev_fleet_event,llm_generated
45.5,12500.0,12,1,2,0,ev_fleet_event,llm_generated
45.6,3200.4,13,1,2,0,ev_fleet_event,llm_generated
45.6,2345.7,14,1,2,0,ev_fleet_event,llm_generated
45.6,12500.3,15,1,2,0,ev_fleet_event,llm_generated
45.6,2850.3,16,1,2,0,ev_fleet_event,llm_generated
45.6,12500.3,17,1,2,0,ev_fleet_event,llm_generated
45.6,12345.7,18,1,2,0,ev_fleet_event,llm_generated
45.5,12500.0,19,1,2,0,ev_fleet_event,llm_generated
45.6,12500.3,20,1,2,0,ev_fleet_event,llm_generated
45.6,12345.7,21,1,2,0,ev_fleet_event,llm_generated
45.6,12345.7,22,1,2,0,ev_fleet_event,llm_generated
45.5,12500.0,23,1,2,0,ev_fleet_event,llm_generated
45.6,1234.5,0,1,2,0,grid_outage,llm_generated
35.5,125000.0,1,1,2,0,grid_outage,llm_generated
35.6,125000.0,2,1,2,0,grid_outage,llm_generated
45.5,125000.0,3,1,2,0,grid_outage,llm_generated
35.5,125000.0,4,1,2,0,grid_outage,llm_generated
35.5,125000.0,5,1,2,0,grid_outage,llm_generated
35.5,125000.0,6,1,2,0,grid_outage,llm_generated
35.5,1250.3,7,1,2,0,grid_outage,llm_generated
35.5,125000.0,8,1,2,0,grid_outage,llm_generated
45.5,125000.0,9,1,2,0,grid_outage,llm_generated
45.6,1250.3,10,1,2,0,grid_outage,llm_generated
35.5,125000.0,11,1,2,0,grid_outage,llm_generated
45.5,1250.3,12,1,2,0,grid_outage,llm_generated
45.6,1250.3,13,1,2,0,grid_outage,llm_generated
45.6,1250.3,14,1,2,0,grid_outage,llm_generated
45.5,125000.0,15,1,2,0,grid_outage,llm_generated
45.5,125000.0,16,1,2,0,grid_outage,llm_generated
45.6,1250.3,17,1,2,0,grid_outage,llm_generated
45.6,1250.3,18,1,2,0,grid_outage,llm_generated
45.5,1250.3,19,1,2,0,grid_outage,llm_generated
35.5,125000.0,20,1,2,0,grid_outage,llm_generated
45.5,1250.3,21,1,2,0,grid_outage,llm_generated
45.6,1250.3,22,1,2,0,grid_outage,llm_generated
45.6,1234.5,23,1,2,0,grid_outage,llm_generated
65.5,450.2,0,1,2,0,price_spike,llm_generated
45.6,1250.3,1,1,2,0,price_spike,llm_generated
45.6,1250.3,2,1,2,0,price_spike,llm_generated
35.5,450.2,3,1,2,0,price_spike,llm_generated
35.6,1250.4,4,1,2,0,price_spike,llm_generated
35.5,1250.3,5,1,2,0,price_spike,llm_generated
35.5,1250.3,6,1,2,0,price_spike,llm_generated
45.6,1250.3,7,1,2,0,price_spike,llm_generated
45.6,1250.3,8,1,2,0,price_spike,llm_generated
45.6,2345.7,9,1,2,0,price_spike,llm_generated
45.5,325.7,10,1,2,0,price_spike,llm_generated
35.5,1250.3,11,1,2,0,price_spike,llm_generated
45.6,234.7,12,1,2,0,price_spike,llm_generated
65.5,425.3,13,1,2,0,price_spike,llm_generated
45.6,235.4,14,1,2,0,price_spike,llm_generated
65.5,245.3,15,1,2,0,price_spike,llm_generated
45.5,245.7,16,1,2,0,price_spike,llm_generated
45.5,2850.3,17,1,2,0,price_spike,llm_generated
45.6,235.4,18,1,2,0,price_spike,llm_generated
45.6,2345.7,19,1,2,0,price_spike,llm_generated
45.5,1250.3,20,1,2,0,price_spike,llm_generated
45.5,1250.3,21,1,2,0,price_spike,llm_generated
35.5,1250.3,22,1,2,0,price_spike,llm_generated
45.6,1234.5,23,1,2,0,price_spike,llm_generated
