temperature_f,demand_kwh,hour,scenario,run
21.3,89.5,0,cold_snap,constraints+fewshot
28.0,89.5,1,cold_snap,constraints+fewshot
22.8,89.3,2,cold_snap,constraints+fewshot
18.0,89.3,3,cold_snap,constraints+fewshot
25.5,89.3,4,cold_snap,constraints+fewshot
15.3,89.6,5,cold_snap,constraints+fewshot
20.0,85.0,6,cold_snap,constraints+fewshot
28.0,112.0,7,cold_snap,constraints+fewshot
25.8,112.3,8,cold_snap,constraints+fewshot
10.7,112.4,9,cold_snap,constraints+fewshot
25.5,112.3,10,cold_snap,constraints+fewshot
25.0,112.3,11,cold_snap,constraints+fewshot
15.9,112.4,12,cold_snap,constraints+fewshot
23.1,112.4,13,cold_snap,constraints+fewshot
10.7,112.3,14,cold_snap,constraints+fewshot
28.0,112.3,15,cold_snap,constraints+fewshot
17.6,112.3,16,cold_snap,constraints+fewshot
25.5,112.3,17,cold_snap,constraints+fewshot
25.1,135.4,18,cold_snap,constraints+fewshot
20.3,105.2,19,cold_snap,constraints+fewshot
28.6,112.3,20,cold_snap,constraints+fewshot
13.5,112.4,21,cold_snap,constraints+fewshot
28.5,112.3,22,cold_snap,constraints+fewshot
12.4,112.3,23,cold_snap,constraints+fewshot
45.6,89.4,0,ev_fleet_event,constraints+fewshot
62.5,89.3,1,ev_fleet_event,constraints+fewshot
35.5,89.3,2,ev_fleet_event,constraints+fewshot
45.0,89.3,3,ev_fleet_event,constraints+fewshot
35.0,82.3,4,ev_fleet_event,constraints+fewshot
45.6,112.3,5,ev_fleet_event,constraints+fewshot
28.4,126.0,6,ev_fleet_event,constraints+fewshot
65.0,112.3,7,ev_fleet_event,constraints+fewshot
58.3,112.6,8,ev_fleet_event,constraints+fewshot
25.3,112.4,9,ev_fleet_event,constraints+fewshot
35.0,112.0,10,ev_fleet_event,constraints+fewshot
45.0,112.3,11,ev_fleet_event,constraints+fewshot
38.5,92.3,12,ev_fleet_event,constraints+fewshot
45.3,92.4,13,ev_fleet_event,constraints+fewshot
38.2,112.4,14,ev_fleet_event,constraints+fewshot
52.3,112.4,15,ev_fleet_event,constraints+fewshot
45.3,112.5,16,ev_fleet_event,constraints+fewshot
55.0,112.0,17,ev_fleet_event,constraints+fewshot
45.5,112.3,18,ev_fleet_event,constraints+fewshot
46.3,110.4,19,ev_fleet_event,constraints+fewshot
38.5,112.7,20,ev_fleet_event,constraints+fewshot
35.5,112.4,21,ev_fleet_event,constraints+fewshot
45.3,102.6,22,ev_fleet_event,constraints+fewshot
35.0,112.0,23,ev_fleet_event,constraints+fewshot
45.0,12.5,0,grid_outage,constraints+fewshot
45.0,12.0,1,grid_outage,constraints+fewshot
28.5,10.3,2,grid_outage,constraints+fewshot
45.0,12.3,3,grid_outage,constraints+fewshot
32.5,15.3,4,grid_outage,constraints+fewshot
35.0,15.0,5,grid_outage,constraints+fewshot
28.4,35.0,6,grid_outage,constraints+fewshot
55.0,34.2,7,grid_outage,constraints+fewshot
45.3,32.1,8,grid_outage,constraints+fewshot
25.3,34.8,9,grid_outage,constraints+fewshot
35.0,45.0,10,grid_outage,constraints+fewshot
45.0,35.2,11,grid_outage,constraints+fewshot
34.5,45.0,12,grid_outage,constraints+fewshot
45.3,42.1,13,grid_outage,constraints+fewshot
28.3,34.5,14,grid_outage,constraints+fewshot
45.3,42.1,15,grid_outage,constraints+fewshot
35.0,45.0,16,grid_outage,constraints+fewshot
35.0,45.0,17,grid_outage,constraints+fewshot
45.5,34.2,18,grid_outage,constraints+fewshot
35.2,38.4,19,grid_outage,constraints+fewshot
38.5,45.2,20,grid_outage,constraints+fewshot
35.5,42.3,21,grid_outage,constraints+fewshot
45.3,28.7,22,grid_outage,constraints+fewshot
25.6,32.1,23,grid_outage,constraints+fewshot
45.5,32.1,0,price_spike,constraints+fewshot
48.5,82.3,1,price_spike,constraints+fewshot
28.4,10.2,2,price_spike,constraints+fewshot
45.5,34.8,3,price_spike,constraints+fewshot
35.0,105.0,4,price_spike,constraints+fewshot
35.0,126.0,5,price_spike,constraints+fewshot
28.4,44.0,6,price_spike,constraints+fewshot
62.5,45.3,7,price_spike,constraints+fewshot
45.3,32.1,8,price_spike,constraints+fewshot
25.3,42.1,9,price_spike,constraints+fewshot
35.0,45.0,10,price_spike,constraints+fewshot
45.0,45.0,11,price_spike,constraints+fewshot
36.5,45.0,12,price_spike,constraints+fewshot
45.3,42.1,13,price_spike,constraints+fewshot
32.5,45.0,14,price_spike,constraints+fewshot
52.3,48.2,15,price_spike,constraints+fewshot
45.0,31.5,16,price_spike,constraints+fewshot
35.0,45.0,17,price_spike,constraints+fewshot
45.5,52.3,18,price_spike,constraints+fewshot
46.3,72.8,19,price_spike,constraints+fewshot
38.5,45.2,20,price_spike,constraints+fewshot
35.5,45.3,21,price_spike,constraints+fewshot
45.5,28.4,22,price_spike,constraints+fewshot
35.0,28.0,23,price_spike,constraints+fewshot
