temperature_f,demand_kwh,hour,scenario,run
28.0,112.0,0,cold_snap,constraints_only
28.0,112.0,1,cold_snap,constraints_only
18.0,105.0,2,cold_snap,constraints_only
28.0,112.0,3,cold_snap,constraints_only
22.0,89.0,4,cold_snap,constraints_only
22.0,89.0,5,cold_snap,constraints_only
25.0,89.0,6,cold_snap,constraints_only
18.0,85.0,7,cold_snap,constraints_only
22.0,115.0,8,cold_snap,constraints_only
28.0,112.0,9,cold_snap,constraints_only
28.0,85.0,10,cold_snap,constraints_only
28.0,112.0,11,cold_snap,constraints_only
25.0,89.0,12,cold_snap,constraints_only
22.0,89.0,13,cold_snap,constraints_only
28.0,112.0,14,cold_snap,constraints_only
28.0,112.0,15,cold_snap,constraints_only
28.0,89.0,16,cold_snap,constraints_only
28.0,89.0,17,cold_snap,constraints_only
25.0,89.0,18,cold_snap,constraints_only
28.0,112.0,19,cold_snap,constraints_only
28.0,89.0,20,cold_snap,constraints_only
25.0,110.0,21,cold_snap,constraints_only
28.0,112.0,22,cold_snap,constraints_only
25.0,112.0,23,cold_snap,constraints_only
58.3,112.7,0,ev_fleet_event,constraints_only
58.2,112.4,1,ev_fleet_event,constraints_only
45.5,112.3,2,ev_fleet_event,constraints_only
45.6,112.3,3,ev_fleet_event,constraints_only
45.5,112.3,4,ev_fleet_event,constraints_only
45.5,112.3,5,ev_fleet_event,constraints_only
45.6,112.3,6,ev_fleet_event,constraints_only
45.6,112.3,7,ev_fleet_event,constraints_only
55.3,112.4,8,ev_fleet_event,constraints_only
45.5,126.0,9,ev_fleet_event,constraints_only
55.0,112.0,10,ev_fleet_event,constraints_only
45.5,112.3,11,ev_fleet_event,constraints_only
55.3,112.4,12,ev_fleet_event,constraints_only
55.0,126.0,13,ev_fleet_event,constraints_only
45.5,112.3,14,ev_fleet_event,constraints_only
55.0,126.0,15,ev_fleet_event,constraints_only
68.5,112.3,16,ev_fleet_event,constraints_only
68.5,112.3,17,ev_fleet_event,constraints_only
68.5,112.3,18,ev_fleet_event,constraints_only
65.5,112.3,19,ev_fleet_event,constraints_only
68.5,112.3,20,ev_fleet_event,constraints_only
68.0,115.0,21,ev_fleet_event,constraints_only
58.3,112.6,22,ev_fleet_event,constraints_only
68.5,112.3,23,ev_fleet_event,constraints_only
55.3,28.6,0,grid_outage,constraints_only
55.0,28.0,1,grid_outage,constraints_only
55.0,28.0,2,grid_outage,constraints_only
45.5,28.3,3,grid_outage,constraints_only
45.5,28.3,4,grid_outage,constraints_only
45.5,28.7,5,grid_outage,constraints_only
45.5,28.3,6,grid_outage,constraints_only
45.5,28.3,7,grid_outage,constraints_only
45.5,28.3,8,grid_outage,constraints_only
55.0,28.0,9,grid_outage,constraints_only
45.5,28.3,10,grid_outage,constraints_only
55.0,28.0,11,grid_outage,constraints_only
45.5,28.3,12,grid_outage,constraints_only
55.0,28.0,13,grid_outage,constraints_only
55.0,28.0,14,grid_outage,constraints_only
55.0,28.0,15,grid_outage,constraints_only
55.0,28.0,16,grid_outage,constraints_only
68.5,28.3,17,grid_outage,constraints_only
58.0,28.0,18,grid_outage,constraints_only
62.5,28.3,19,grid_outage,constraints_only
65.5,34.2,20,grid_outage,constraints_only
68.5,28.3,21,grid_outage,constraints_only
68.5,28.3,22,grid_outage,constraints_only
68.5,28.3,23,grid_outage,constraints_only
55.0,35.0,0,price_spike,constraints_only
68.5,45.3,1,price_spike,constraints_only
55.0,35.0,2,price_spike,constraints_only
45.5,31.5,3,price_spike,constraints_only
45.5,35.2,4,price_spike,constraints_only
45.5,31.5,5,price_spike,constraints_only
45.5,31.5,6,price_spike,constraints_only
45.5,35.2,7,price_spike,constraints_only
45.5,35.2,8,price_spike,constraints_only
45.5,35.2,9,price_spike,constraints_only
45.5,35.2,10,price_spike,constraints_only
55.0,45.0,11,price_spike,constraints_only
55.0,45.0,12,price_spike,constraints_only
45.5,35.2,13,price_spike,constraints_only
58.3,45.6,14,price_spike,constraints_only
55.0,42.0,15,price_spike,constraints_only
58.2,45.6,16,price_spike,constraints_only
58.2,42.6,17,price_spike,constraints_only
68.5,45.3,18,price_spike,constraints_only
58.3,42.6,19,price_spike,constraints_only
55.3,42.6,20,price_spike,constraints_only
58.3,42.6,21,price_spike,constraints_only
55.0,42.0,22,price_spike,constraints_only
55.0,35.0,23,price_spike,constraints_only
